churn_event_id,customer_id,finance_churn_date,cs_churn_date,reason
CHN0003,C0003,,2026-05-24,synthetic cohort divergence
CHN0006,C0006,2026-05-16,2026-05-21,synthetic cohort divergence
CHN0009,C0009,,2026-05-18,synthetic cohort divergence
CHN0012,C0012,2026-05-10,2026-05-15,synthetic cohort divergence
CHN0015,C0015,,2026-05-12,synthetic cohort divergence
CHN0018,C0018,2026-05-04,2026-05-09,synthetic cohort divergence
CHN0021,C0021,,2026-05-06,synthetic cohort divergence
CHN0024,C0024,2026-04-28,2026-05-03,synthetic cohort divergence
CHN0027,C0027,,2026-04-30,synthetic cohort divergence
CHN0030,C0030,2026-04-22,2026-04-27,synthetic cohort divergence
CHN0033,C0033,,2026-04-24,synthetic cohort divergence
CHN0036,C0036,2026-04-16,2026-04-21,synthetic cohort divergence
CHN0039,C0039,,2026-04-18,synthetic cohort divergence
CHN0042,C0042,2026-04-10,2026-04-15,synthetic cohort divergence
CHN0045,C0045,,2026-04-12,synthetic cohort divergence
CHN0048,C0048,2026-04-04,2026-04-09,synthetic cohort divergence
CHN0051,C0051,,2026-04-06,synthetic cohort divergence
CHN0054,C0054,2026-03-29,2026-04-03,synthetic cohort divergence
CHN0057,C0057,,2026-03-31,synthetic cohort divergence
CHN0060,C0060,2026-03-23,2026-03-28,synthetic cohort divergence
CHN0063,C0063,,2026-03-25,synthetic cohort divergence
CHN0066,C0066,2026-03-17,2026-03-22,synthetic cohort divergence
CHN0069,C0069,,2026-03-19,synthetic cohort divergence
CHN0072,C0072,2026-03-11,2026-03-16,synthetic cohort divergence
CHN0075,C0075,,2026-03-13,synthetic cohort divergence
CHN0078,C0078,2026-05-19,2026-03-10,synthetic cohort divergence
CHN0081,C0081,,2026-03-07,synthetic cohort divergence
CHN0084,C0084,2026-05-13,2026-03-04,synthetic cohort divergence
CHN0087,C0087,,2026-03-01,synthetic cohort divergence
CHN0090,C0090,2026-05-07,2026-02-26,synthetic cohort divergence
CHN0093,C0093,,2026-02-23,synthetic cohort divergence
CHN0096,C0096,2026-05-01,2026-02-20,synthetic cohort divergence
CHN0099,C0099,,2026-02-17,synthetic cohort divergence
CHN0102,C0102,2026-04-25,2026-05-25,synthetic cohort divergence
CHN0105,C0105,,2026-05-22,synthetic cohort divergence
CHN0108,C0108,2026-04-19,2026-05-19,synthetic cohort divergence
CHN0111,C0111,,2026-05-16,synthetic cohort divergence
CHN0114,C0114,2026-04-13,2026-05-13,synthetic cohort divergence
CHN0117,C0117,,2026-05-10,synthetic cohort divergence
CHN0120,C0120,2026-04-07,2026-05-07,synthetic cohort divergence
CHN0123,C0123,,2026-05-04,synthetic cohort divergence
CHN0126,C0126,2026-04-01,2026-05-01,synthetic cohort divergence
CHN0129,C0129,,2026-04-28,synthetic cohort divergence
CHN0132,C0132,2026-03-26,2026-04-25,synthetic cohort divergence
CHN0135,C0135,,2026-04-22,synthetic cohort divergence
CHN0138,C0138,2026-03-20,2026-04-19,synthetic cohort divergence
CHN0141,C0141,,2026-04-16,synthetic cohort divergence
CHN0144,C0144,2026-03-14,2026-04-13,synthetic cohort divergence
CHN0147,C0147,,2026-04-10,synthetic cohort divergence
CHN0150,C0150,2026-05-22,2026-04-07,synthetic cohort divergence
CHN0153,C0153,,2026-04-04,synthetic cohort divergence
CHN0156,C0156,2026-05-16,2026-04-01,synthetic cohort divergence
CHN0159,C0159,,2026-03-29,synthetic cohort divergence
CHN0162,C0162,2026-05-10,2026-03-26,synthetic cohort divergence
CHN0165,C0165,,2026-03-23,synthetic cohort divergence
CHN0168,C0168,2026-05-04,2026-03-20,synthetic cohort divergence
CHN0171,C0171,,2026-03-17,synthetic cohort divergence
CHN0174,C0174,2026-04-28,2026-03-14,synthetic cohort divergence
CHN0177,C0177,,2026-03-11,synthetic cohort divergence
CHN0180,C0180,2026-04-22,2026-03-08,synthetic cohort divergence
CHN0183,C0183,,2026-03-05,synthetic cohort divergence
CHN0186,C0186,2026-04-16,2026-03-02,synthetic cohort divergence
CHN0189,C0189,,2026-02-27,synthetic cohort divergence
CHN0192,C0192,2026-04-10,2026-02-24,synthetic cohort divergence
CHN0195,C0195,,2026-02-21,synthetic cohort divergence
CHN0198,C0198,2026-04-04,2026-02-18,synthetic cohort divergence
CHN0201,C0201,,2026-05-26,synthetic cohort divergence
CHN0204,C0204,2026-03-29,2026-05-23,synthetic cohort divergence
CHN0207,C0207,,2026-05-20,synthetic cohort divergence
CHN0210,C0210,2026-03-23,2026-05-17,synthetic cohort divergence
CHN0213,C0213,,2026-05-14,synthetic cohort divergence
CHN0216,C0216,2026-03-17,2026-05-11,synthetic cohort divergence
CHN0219,C0219,,2026-05-08,synthetic cohort divergence
CHN0222,C0222,2026-03-11,2026-05-05,synthetic cohort divergence
CHN0225,C0225,,2026-05-02,synthetic cohort divergence
CHN0228,C0228,2026-05-19,2026-04-29,synthetic cohort divergence
CHN0231,C0231,,2026-04-26,synthetic cohort divergence
CHN0234,C0234,2026-05-13,2026-04-23,synthetic cohort divergence
CHN0237,C0237,,2026-04-20,synthetic cohort divergence
CHN0240,C0240,2026-05-07,2026-04-17,synthetic cohort divergence
CHN0243,C0243,,2026-04-14,synthetic cohort divergence
CHN0246,C0246,2026-05-01,2026-04-11,synthetic cohort divergence
CHN0249,C0249,,2026-04-08,synthetic cohort divergence
CHN0252,C0252,2026-04-25,2026-04-05,synthetic cohort divergence
CHN0255,C0255,,2026-04-02,synthetic cohort divergence
CHN0258,C0258,2026-04-19,2026-03-30,synthetic cohort divergence
CHN0261,C0261,,2026-03-27,synthetic cohort divergence
CHN0264,C0264,2026-04-13,2026-03-24,synthetic cohort divergence
CHN0267,C0267,,2026-03-21,synthetic cohort divergence
CHN0270,C0270,2026-04-07,2026-03-18,synthetic cohort divergence
CHN0273,C0273,,2026-03-15,synthetic cohort divergence
CHN0276,C0276,2026-04-01,2026-03-12,synthetic cohort divergence
CHN0279,C0279,,2026-03-09,synthetic cohort divergence
CHN0282,C0282,2026-03-26,2026-03-06,synthetic cohort divergence
CHN0285,C0285,,2026-03-03,synthetic cohort divergence
CHN0288,C0288,2026-03-20,2026-02-28,synthetic cohort divergence
CHN0291,C0291,,2026-02-25,synthetic cohort divergence
CHN0294,C0294,2026-03-14,2026-02-22,synthetic cohort divergence
CHN0297,C0297,,2026-02-19,synthetic cohort divergence
CHN0300,C0300,2026-05-22,2026-05-27,synthetic cohort divergence
CHN0303,C0303,,2026-05-24,synthetic cohort divergence
CHN0306,C0306,2026-05-16,2026-05-21,synthetic cohort divergence
CHN0309,C0309,,2026-05-18,synthetic cohort divergence
CHN0312,C0312,2026-05-10,2026-05-15,synthetic cohort divergence
CHN0315,C0315,,2026-05-12,synthetic cohort divergence
CHN0318,C0318,2026-05-04,2026-05-09,synthetic cohort divergence
CHN0321,C0321,,2026-05-06,synthetic cohort divergence
CHN0324,C0324,2026-04-28,2026-05-03,synthetic cohort divergence
