completion_id,learner_id,lab_id,completed,completed_at
LC-001-1,L001,LAB-AGENT,1,2026-05-21
LC-002-1,L002,LAB-AGENT,1,2026-05-21
LC-003-1,L003,LAB-AGENT,1,2026-05-21
LC-004-1,L004,LAB-AGENT,1,2026-05-21
LC-005-1,L005,LAB-AGENT,1,2026-05-21
LC-006-1,L006,LAB-AGENT,1,2026-05-21
LC-007-1,L007,LAB-AGENT,1,2026-05-21
LC-008-1,L008,LAB-AGENT,1,2026-05-21
LC-009-1,L009,LAB-AGENT,1,2026-05-21
LC-010-1,L010,LAB-AGENT,1,2026-05-21
LC-011-1,L011,LAB-AGENT,1,2026-05-21
LC-012-1,L012,LAB-AGENT,1,2026-05-21
LC-013-1,L013,LAB-AGENT,1,2026-05-21
LC-014-1,L014,LAB-AGENT,1,2026-05-21
LC-015-1,L015,LAB-AGENT,1,2026-05-21
LC-016-1,L016,LAB-AGENT,1,2026-05-21
LC-017-1,L017,LAB-AGENT,1,2026-05-21
LC-018-1,L018,LAB-AGENT,1,2026-05-21
LC-019-1,L019,LAB-AGENT,1,2026-05-21
LC-020-1,L020,LAB-AGENT,1,2026-05-21
LC-021-1,L021,LAB-AGENT,1,2026-05-21
LC-022-1,L022,LAB-AGENT,1,2026-05-21
LC-023-1,L023,LAB-AGENT,1,2026-05-21
LC-024-1,L024,LAB-AGENT,1,2026-05-21
LC-025-1,L025,LAB-AGENT,1,2026-05-21
LC-026-1,L026,LAB-AGENT,1,2026-05-21
LC-027-1,L027,LAB-AGENT,1,2026-05-21
LC-028-1,L028,LAB-AGENT,1,2026-05-21
LC-029-1,L029,LAB-AGENT,1,2026-05-21
LC-030-1,L030,LAB-AGENT,1,2026-05-21
LC-031-1,L031,LAB-AGENT,1,2026-05-21
LC-032-1,L032,LAB-AGENT,1,2026-05-21
LC-033-1,L033,LAB-AGENT,1,2026-05-21
LC-034-1,L034,LAB-AGENT,1,2026-05-21
LC-035-1,L035,LAB-AGENT,1,2026-05-21
LC-036-1,L036,LAB-AGENT,1,2026-05-21
LC-037-1,L037,LAB-AGENT,1,2026-05-21
LC-038-1,L038,LAB-AGENT,1,2026-05-21
LC-039-1,L039,LAB-AGENT,1,2026-05-21
LC-040-1,L040,LAB-AGENT,1,2026-05-21
LC-041-1,L041,LAB-AGENT,1,2026-05-21
LC-041-2,L041,LAB-SAFETY,1,2026-05-20
LC-042-1,L042,LAB-AGENT,1,2026-05-21
LC-042-2,L042,LAB-SAFETY,1,2026-05-20
LC-043-1,L043,LAB-AGENT,1,2026-05-21
LC-043-2,L043,LAB-SAFETY,1,2026-05-20
LC-044-1,L044,LAB-AGENT,1,2026-05-21
LC-044-2,L044,LAB-SAFETY,1,2026-05-20
LC-045-1,L045,LAB-AGENT,1,2026-05-21
LC-045-2,L045,LAB-SAFETY,1,2026-05-20
