approval_id,learner_id,approved,approved_at,manager_name
MA-001,L001,0,,Manager 01
MA-002,L002,0,,Manager 01
MA-003,L003,0,,Manager 01
MA-004,L004,0,,Manager 01
MA-005,L005,0,,Manager 01
MA-006,L006,0,,Manager 01
MA-007,L007,0,,Manager 01
MA-008,L008,0,,Manager 01
MA-009,L009,0,,Manager 01
MA-010,L010,0,,Manager 01
MA-011,L011,0,,Manager 02
MA-012,L012,0,,Manager 02
MA-013,L013,0,,Manager 02
MA-014,L014,0,,Manager 02
MA-015,L015,0,,Manager 02
MA-016,L016,0,,Manager 02
MA-017,L017,0,,Manager 02
MA-018,L018,0,,Manager 02
MA-019,L019,0,,Manager 02
MA-020,L020,0,,Manager 02
MA-021,L021,0,,Manager 03
MA-022,L022,0,,Manager 03
MA-023,L023,0,,Manager 03
MA-024,L024,0,,Manager 03
MA-025,L025,0,,Manager 03
MA-026,L026,0,,Manager 03
MA-027,L027,0,,Manager 03
MA-028,L028,0,,Manager 03
MA-029,L029,0,,Manager 03
MA-030,L030,0,,Manager 03
MA-031,L031,0,,Manager 04
MA-032,L032,0,,Manager 04
MA-033,L033,0,,Manager 04
MA-034,L034,0,,Manager 04
MA-035,L035,0,,Manager 04
MA-036,L036,0,,Manager 04
MA-037,L037,0,,Manager 04
MA-038,L038,0,,Manager 04
MA-039,L039,0,,Manager 04
MA-040,L040,0,,Manager 04
MA-041,L041,1,2026-05-29,Manager 05
MA-042,L042,1,2026-05-29,Manager 05
MA-043,L043,1,2026-05-29,Manager 05
MA-044,L044,1,2026-05-29,Manager 05
MA-045,L045,1,2026-05-29,Manager 05
MA-046,L046,1,2026-05-29,Manager 05
MA-047,L047,1,2026-05-29,Manager 05
MA-048,L048,1,2026-05-29,Manager 05
MA-049,L049,1,2026-05-29,Manager 05
MA-050,L050,1,2026-05-29,Manager 05
MA-051,L051,1,2026-05-29,Manager 06
MA-052,L052,1,2026-05-29,Manager 06
MA-053,L053,1,2026-05-29,Manager 06
MA-054,L054,1,2026-05-29,Manager 06
MA-055,L055,1,2026-05-29,Manager 06
MA-056,L056,1,2026-05-29,Manager 06
MA-057,L057,1,2026-05-29,Manager 06
MA-058,L058,1,2026-05-29,Manager 06
MA-059,L059,1,2026-05-29,Manager 06
MA-060,L060,1,2026-05-29,Manager 06
MA-061,L061,1,2026-05-29,Manager 07
MA-062,L062,1,2026-05-29,Manager 07
MA-063,L063,1,2026-05-29,Manager 07
MA-064,L064,1,2026-05-29,Manager 07
MA-065,L065,1,2026-05-29,Manager 07
MA-066,L066,1,2026-05-29,Manager 07
MA-067,L067,1,2026-05-29,Manager 07
MA-068,L068,1,2026-05-29,Manager 07
MA-069,L069,1,2026-05-29,Manager 07
MA-070,L070,1,2026-05-29,Manager 07
MA-071,L071,1,2026-05-29,Manager 08
MA-072,L072,1,2026-05-29,Manager 08
MA-073,L073,1,2026-05-29,Manager 08
MA-074,L074,1,2026-05-29,Manager 08
MA-075,L075,1,2026-05-29,Manager 08
MA-076,L076,1,2026-05-29,Manager 08
MA-077,L077,1,2026-05-29,Manager 08
MA-078,L078,1,2026-05-29,Manager 08
MA-079,L079,1,2026-05-29,Manager 08
MA-080,L080,1,2026-05-29,Manager 08
MA-081,L081,1,2026-05-29,Manager 09
MA-082,L082,1,2026-05-29,Manager 09
MA-083,L083,1,2026-05-29,Manager 09
MA-084,L084,1,2026-05-29,Manager 09
MA-085,L085,1,2026-05-29,Manager 09
MA-086,L086,1,2026-05-29,Manager 09
MA-087,L087,1,2026-05-29,Manager 09
MA-088,L088,1,2026-05-29,Manager 09
MA-089,L089,1,2026-05-29,Manager 09
MA-090,L090,1,2026-05-29,Manager 09
MA-091,L091,1,2026-05-29,Manager 10
MA-092,L092,1,2026-05-29,Manager 10
MA-093,L093,1,2026-05-29,Manager 10
MA-094,L094,1,2026-05-29,Manager 10
MA-095,L095,1,2026-05-29,Manager 10
MA-096,L096,1,2026-05-29,Manager 10
MA-097,L097,0,,Manager 10
MA-098,L098,0,,Manager 10
MA-099,L099,0,,Manager 10
MA-100,L100,0,,Manager 10
MA-101,L101,0,,Manager 11
MA-102,L102,0,,Manager 11
MA-103,L103,0,,Manager 11
MA-104,L104,0,,Manager 11
MA-105,L105,0,,Manager 11
MA-106,L106,0,,Manager 11
MA-107,L107,0,,Manager 11
MA-108,L108,0,,Manager 11
MA-109,L109,0,,Manager 11
MA-110,L110,0,,Manager 11
MA-111,L111,0,,Manager 12
MA-112,L112,0,,Manager 12
MA-113,L113,0,,Manager 12
MA-114,L114,0,,Manager 12
MA-115,L115,0,,Manager 12
MA-116,L116,0,,Manager 12
MA-117,L117,0,,Manager 12
MA-118,L118,0,,Manager 12
MA-119,L119,0,,Manager 12
MA-120,L120,0,,Manager 12
