completion_id,learner_id,module_id,completed,completed_at
MC-001-1,L001,MOD-FOUNDATIONS,1,2026-05-11
MC-001-2,L001,MOD-GOVERNANCE,1,2026-05-10
MC-001-3,L001,MOD-AGENTS,1,2026-05-09
MC-002-1,L002,MOD-FOUNDATIONS,1,2026-05-11
MC-002-2,L002,MOD-GOVERNANCE,1,2026-05-10
MC-002-3,L002,MOD-AGENTS,1,2026-05-09
MC-003-1,L003,MOD-FOUNDATIONS,1,2026-05-11
MC-003-2,L003,MOD-GOVERNANCE,1,2026-05-10
MC-003-3,L003,MOD-AGENTS,1,2026-05-09
MC-004-1,L004,MOD-FOUNDATIONS,1,2026-05-11
MC-004-2,L004,MOD-GOVERNANCE,1,2026-05-10
MC-004-3,L004,MOD-AGENTS,1,2026-05-09
MC-005-1,L005,MOD-FOUNDATIONS,1,2026-05-11
MC-005-2,L005,MOD-GOVERNANCE,1,2026-05-10
MC-005-3,L005,MOD-AGENTS,1,2026-05-09
MC-006-1,L006,MOD-FOUNDATIONS,1,2026-05-11
MC-006-2,L006,MOD-GOVERNANCE,1,2026-05-10
MC-006-3,L006,MOD-AGENTS,1,2026-05-09
MC-007-1,L007,MOD-FOUNDATIONS,1,2026-05-11
MC-007-2,L007,MOD-GOVERNANCE,1,2026-05-10
MC-007-3,L007,MOD-AGENTS,1,2026-05-09
MC-008-1,L008,MOD-FOUNDATIONS,1,2026-05-11
MC-008-2,L008,MOD-GOVERNANCE,1,2026-05-10
MC-008-3,L008,MOD-AGENTS,1,2026-05-09
MC-009-1,L009,MOD-FOUNDATIONS,1,2026-05-11
MC-009-2,L009,MOD-GOVERNANCE,1,2026-05-10
MC-009-3,L009,MOD-AGENTS,1,2026-05-09
MC-010-1,L010,MOD-FOUNDATIONS,1,2026-05-11
MC-010-2,L010,MOD-GOVERNANCE,1,2026-05-10
MC-010-3,L010,MOD-AGENTS,1,2026-05-09
MC-011-1,L011,MOD-FOUNDATIONS,1,2026-05-11
MC-011-2,L011,MOD-GOVERNANCE,1,2026-05-10
MC-011-3,L011,MOD-AGENTS,1,2026-05-09
MC-012-1,L012,MOD-FOUNDATIONS,1,2026-05-11
MC-012-2,L012,MOD-GOVERNANCE,1,2026-05-10
MC-012-3,L012,MOD-AGENTS,1,2026-05-09
MC-013-1,L013,MOD-FOUNDATIONS,1,2026-05-11
MC-013-2,L013,MOD-GOVERNANCE,1,2026-05-10
MC-013-3,L013,MOD-AGENTS,1,2026-05-09
MC-014-1,L014,MOD-FOUNDATIONS,1,2026-05-11
MC-014-2,L014,MOD-GOVERNANCE,1,2026-05-10
MC-014-3,L014,MOD-AGENTS,1,2026-05-09
MC-015-1,L015,MOD-FOUNDATIONS,1,2026-05-11
MC-015-2,L015,MOD-GOVERNANCE,1,2026-05-10
MC-015-3,L015,MOD-AGENTS,1,2026-05-09
MC-016-1,L016,MOD-FOUNDATIONS,1,2026-05-11
MC-016-2,L016,MOD-GOVERNANCE,1,2026-05-10
MC-016-3,L016,MOD-AGENTS,1,2026-05-09
MC-017-1,L017,MOD-FOUNDATIONS,1,2026-05-11
MC-017-2,L017,MOD-GOVERNANCE,1,2026-05-10
MC-017-3,L017,MOD-AGENTS,1,2026-05-09
MC-018-1,L018,MOD-FOUNDATIONS,1,2026-05-11
MC-018-2,L018,MOD-GOVERNANCE,1,2026-05-10
MC-018-3,L018,MOD-AGENTS,1,2026-05-09
MC-019-1,L019,MOD-FOUNDATIONS,1,2026-05-11
MC-019-2,L019,MOD-GOVERNANCE,1,2026-05-10
MC-019-3,L019,MOD-AGENTS,1,2026-05-09
MC-020-1,L020,MOD-FOUNDATIONS,1,2026-05-11
MC-020-2,L020,MOD-GOVERNANCE,1,2026-05-10
MC-020-3,L020,MOD-AGENTS,1,2026-05-09
MC-021-1,L021,MOD-FOUNDATIONS,1,2026-05-11
MC-021-2,L021,MOD-GOVERNANCE,1,2026-05-10
MC-021-3,L021,MOD-AGENTS,1,2026-05-09
MC-022-1,L022,MOD-FOUNDATIONS,1,2026-05-11
MC-022-2,L022,MOD-GOVERNANCE,1,2026-05-10
MC-022-3,L022,MOD-AGENTS,1,2026-05-09
MC-023-1,L023,MOD-FOUNDATIONS,1,2026-05-11
MC-023-2,L023,MOD-GOVERNANCE,1,2026-05-10
MC-023-3,L023,MOD-AGENTS,1,2026-05-09
MC-024-1,L024,MOD-FOUNDATIONS,1,2026-05-11
MC-024-2,L024,MOD-GOVERNANCE,1,2026-05-10
MC-024-3,L024,MOD-AGENTS,1,2026-05-09
MC-025-1,L025,MOD-FOUNDATIONS,1,2026-05-11
MC-025-2,L025,MOD-GOVERNANCE,1,2026-05-10
MC-025-3,L025,MOD-AGENTS,1,2026-05-09
MC-026-1,L026,MOD-FOUNDATIONS,1,2026-05-11
MC-026-2,L026,MOD-GOVERNANCE,1,2026-05-10
MC-026-3,L026,MOD-AGENTS,1,2026-05-09
MC-027-1,L027,MOD-FOUNDATIONS,1,2026-05-11
MC-027-2,L027,MOD-GOVERNANCE,1,2026-05-10
MC-027-3,L027,MOD-AGENTS,1,2026-05-09
MC-028-1,L028,MOD-FOUNDATIONS,1,2026-05-11
MC-028-2,L028,MOD-GOVERNANCE,1,2026-05-10
MC-028-3,L028,MOD-AGENTS,1,2026-05-09
MC-029-1,L029,MOD-FOUNDATIONS,1,2026-05-11
MC-029-2,L029,MOD-GOVERNANCE,1,2026-05-10
MC-029-3,L029,MOD-AGENTS,1,2026-05-09
MC-030-1,L030,MOD-FOUNDATIONS,1,2026-05-11
MC-030-2,L030,MOD-GOVERNANCE,1,2026-05-10
MC-030-3,L030,MOD-AGENTS,1,2026-05-09
MC-031-1,L031,MOD-FOUNDATIONS,1,2026-05-11
MC-031-2,L031,MOD-GOVERNANCE,1,2026-05-10
MC-031-3,L031,MOD-AGENTS,1,2026-05-09
MC-032-1,L032,MOD-FOUNDATIONS,1,2026-05-11
MC-032-2,L032,MOD-GOVERNANCE,1,2026-05-10
MC-032-3,L032,MOD-AGENTS,1,2026-05-09
MC-033-1,L033,MOD-FOUNDATIONS,1,2026-05-11
MC-033-2,L033,MOD-GOVERNANCE,1,2026-05-10
MC-033-3,L033,MOD-AGENTS,1,2026-05-09
MC-034-1,L034,MOD-FOUNDATIONS,1,2026-05-11
MC-034-2,L034,MOD-GOVERNANCE,1,2026-05-10
MC-034-3,L034,MOD-AGENTS,1,2026-05-09
MC-035-1,L035,MOD-FOUNDATIONS,1,2026-05-11
MC-035-2,L035,MOD-GOVERNANCE,1,2026-05-10
MC-035-3,L035,MOD-AGENTS,1,2026-05-09
MC-036-1,L036,MOD-FOUNDATIONS,1,2026-05-11
MC-036-2,L036,MOD-GOVERNANCE,1,2026-05-10
MC-036-3,L036,MOD-AGENTS,1,2026-05-09
MC-037-1,L037,MOD-FOUNDATIONS,1,2026-05-11
MC-037-2,L037,MOD-GOVERNANCE,1,2026-05-10
MC-037-3,L037,MOD-AGENTS,1,2026-05-09
MC-038-1,L038,MOD-FOUNDATIONS,1,2026-05-11
MC-038-2,L038,MOD-GOVERNANCE,1,2026-05-10
MC-038-3,L038,MOD-AGENTS,1,2026-05-09
MC-039-1,L039,MOD-FOUNDATIONS,1,2026-05-11
MC-039-2,L039,MOD-GOVERNANCE,1,2026-05-10
MC-039-3,L039,MOD-AGENTS,1,2026-05-09
MC-040-1,L040,MOD-FOUNDATIONS,1,2026-05-11
MC-040-2,L040,MOD-GOVERNANCE,1,2026-05-10
MC-040-3,L040,MOD-AGENTS,1,2026-05-09
MC-041-1,L041,MOD-FOUNDATIONS,1,2026-05-11
MC-041-2,L041,MOD-GOVERNANCE,1,2026-05-10
MC-041-3,L041,MOD-AGENTS,1,2026-05-09
MC-042-1,L042,MOD-FOUNDATIONS,1,2026-05-11
MC-042-2,L042,MOD-GOVERNANCE,1,2026-05-10
MC-042-3,L042,MOD-AGENTS,1,2026-05-09
MC-043-1,L043,MOD-FOUNDATIONS,1,2026-05-11
MC-043-2,L043,MOD-GOVERNANCE,1,2026-05-10
MC-043-3,L043,MOD-AGENTS,1,2026-05-09
MC-044-1,L044,MOD-FOUNDATIONS,1,2026-05-11
MC-044-2,L044,MOD-GOVERNANCE,1,2026-05-10
MC-044-3,L044,MOD-AGENTS,1,2026-05-09
MC-045-1,L045,MOD-FOUNDATIONS,1,2026-05-11
MC-045-2,L045,MOD-GOVERNANCE,1,2026-05-10
MC-045-3,L045,MOD-AGENTS,1,2026-05-09
MC-046-1,L046,MOD-FOUNDATIONS,1,2026-05-11
MC-046-2,L046,MOD-GOVERNANCE,1,2026-05-10
MC-046-3,L046,MOD-AGENTS,1,2026-05-09
MC-047-1,L047,MOD-FOUNDATIONS,1,2026-05-11
MC-047-2,L047,MOD-GOVERNANCE,1,2026-05-10
MC-047-3,L047,MOD-AGENTS,1,2026-05-09
MC-048-1,L048,MOD-FOUNDATIONS,1,2026-05-11
MC-048-2,L048,MOD-GOVERNANCE,1,2026-05-10
MC-048-3,L048,MOD-AGENTS,1,2026-05-09
MC-049-1,L049,MOD-FOUNDATIONS,1,2026-05-11
MC-049-2,L049,MOD-GOVERNANCE,1,2026-05-10
MC-049-3,L049,MOD-AGENTS,1,2026-05-09
MC-050-1,L050,MOD-FOUNDATIONS,1,2026-05-11
MC-050-2,L050,MOD-GOVERNANCE,1,2026-05-10
MC-050-3,L050,MOD-AGENTS,1,2026-05-09
MC-051-1,L051,MOD-FOUNDATIONS,1,2026-05-11
MC-051-2,L051,MOD-GOVERNANCE,1,2026-05-10
MC-051-3,L051,MOD-AGENTS,1,2026-05-09
MC-052-1,L052,MOD-FOUNDATIONS,1,2026-05-11
MC-052-2,L052,MOD-GOVERNANCE,1,2026-05-10
MC-052-3,L052,MOD-AGENTS,1,2026-05-09
MC-053-1,L053,MOD-FOUNDATIONS,1,2026-05-11
MC-053-2,L053,MOD-GOVERNANCE,1,2026-05-10
MC-053-3,L053,MOD-AGENTS,1,2026-05-09
MC-054-1,L054,MOD-FOUNDATIONS,1,2026-05-11
MC-054-2,L054,MOD-GOVERNANCE,1,2026-05-10
MC-054-3,L054,MOD-AGENTS,1,2026-05-09
MC-055-1,L055,MOD-FOUNDATIONS,1,2026-05-11
MC-055-2,L055,MOD-GOVERNANCE,1,2026-05-10
MC-055-3,L055,MOD-AGENTS,1,2026-05-09
MC-056-1,L056,MOD-FOUNDATIONS,1,2026-05-11
MC-056-2,L056,MOD-GOVERNANCE,1,2026-05-10
MC-056-3,L056,MOD-AGENTS,1,2026-05-09
MC-057-1,L057,MOD-FOUNDATIONS,1,2026-05-11
MC-057-2,L057,MOD-GOVERNANCE,1,2026-05-10
MC-057-3,L057,MOD-AGENTS,1,2026-05-09
MC-058-1,L058,MOD-FOUNDATIONS,1,2026-05-11
MC-058-2,L058,MOD-GOVERNANCE,1,2026-05-10
MC-058-3,L058,MOD-AGENTS,1,2026-05-09
MC-059-1,L059,MOD-FOUNDATIONS,1,2026-05-11
MC-059-2,L059,MOD-GOVERNANCE,1,2026-05-10
MC-059-3,L059,MOD-AGENTS,1,2026-05-09
MC-060-1,L060,MOD-FOUNDATIONS,1,2026-05-11
MC-060-2,L060,MOD-GOVERNANCE,1,2026-05-10
MC-060-3,L060,MOD-AGENTS,1,2026-05-09
MC-061-1,L061,MOD-FOUNDATIONS,1,2026-05-11
MC-061-2,L061,MOD-GOVERNANCE,1,2026-05-10
MC-061-3,L061,MOD-AGENTS,1,2026-05-09
MC-062-1,L062,MOD-FOUNDATIONS,1,2026-05-11
MC-062-2,L062,MOD-GOVERNANCE,1,2026-05-10
MC-062-3,L062,MOD-AGENTS,1,2026-05-09
MC-063-1,L063,MOD-FOUNDATIONS,1,2026-05-11
MC-063-2,L063,MOD-GOVERNANCE,1,2026-05-10
MC-063-3,L063,MOD-AGENTS,1,2026-05-09
MC-064-1,L064,MOD-FOUNDATIONS,1,2026-05-11
MC-064-2,L064,MOD-GOVERNANCE,1,2026-05-10
MC-064-3,L064,MOD-AGENTS,1,2026-05-09
MC-065-1,L065,MOD-FOUNDATIONS,1,2026-05-11
MC-065-2,L065,MOD-GOVERNANCE,1,2026-05-10
MC-065-3,L065,MOD-AGENTS,1,2026-05-09
MC-066-1,L066,MOD-FOUNDATIONS,1,2026-05-11
MC-066-2,L066,MOD-GOVERNANCE,1,2026-05-10
MC-066-3,L066,MOD-AGENTS,1,2026-05-09
MC-067-1,L067,MOD-FOUNDATIONS,1,2026-05-11
MC-067-2,L067,MOD-GOVERNANCE,1,2026-05-10
MC-067-3,L067,MOD-AGENTS,1,2026-05-09
MC-068-1,L068,MOD-FOUNDATIONS,1,2026-05-11
MC-068-2,L068,MOD-GOVERNANCE,1,2026-05-10
MC-068-3,L068,MOD-AGENTS,1,2026-05-09
MC-069-1,L069,MOD-FOUNDATIONS,1,2026-05-11
MC-069-2,L069,MOD-GOVERNANCE,1,2026-05-10
MC-069-3,L069,MOD-AGENTS,1,2026-05-09
MC-070-1,L070,MOD-FOUNDATIONS,1,2026-05-11
MC-070-2,L070,MOD-GOVERNANCE,1,2026-05-10
MC-070-3,L070,MOD-AGENTS,1,2026-05-09
MC-071-1,L071,MOD-FOUNDATIONS,1,2026-05-11
MC-071-2,L071,MOD-GOVERNANCE,1,2026-05-10
MC-071-3,L071,MOD-AGENTS,1,2026-05-09
MC-072-1,L072,MOD-FOUNDATIONS,1,2026-05-11
MC-072-2,L072,MOD-GOVERNANCE,1,2026-05-10
MC-072-3,L072,MOD-AGENTS,1,2026-05-09
MC-073-1,L073,MOD-FOUNDATIONS,1,2026-05-11
MC-073-2,L073,MOD-GOVERNANCE,1,2026-05-10
MC-073-3,L073,MOD-AGENTS,1,2026-05-09
MC-074-1,L074,MOD-FOUNDATIONS,1,2026-05-11
MC-074-2,L074,MOD-GOVERNANCE,1,2026-05-10
MC-074-3,L074,MOD-AGENTS,1,2026-05-09
MC-075-1,L075,MOD-FOUNDATIONS,1,2026-05-11
MC-075-2,L075,MOD-GOVERNANCE,1,2026-05-10
MC-075-3,L075,MOD-AGENTS,1,2026-05-09
MC-076-1,L076,MOD-FOUNDATIONS,1,2026-05-11
MC-076-2,L076,MOD-GOVERNANCE,1,2026-05-10
MC-076-3,L076,MOD-AGENTS,1,2026-05-09
MC-077-1,L077,MOD-FOUNDATIONS,1,2026-05-11
MC-077-2,L077,MOD-GOVERNANCE,1,2026-05-10
MC-077-3,L077,MOD-AGENTS,1,2026-05-09
MC-078-1,L078,MOD-FOUNDATIONS,1,2026-05-11
MC-078-2,L078,MOD-GOVERNANCE,1,2026-05-10
MC-078-3,L078,MOD-AGENTS,1,2026-05-09
MC-079-1,L079,MOD-FOUNDATIONS,1,2026-05-11
MC-079-2,L079,MOD-GOVERNANCE,1,2026-05-10
MC-079-3,L079,MOD-AGENTS,1,2026-05-09
MC-080-1,L080,MOD-FOUNDATIONS,1,2026-05-11
