assessment_id,learner_id,score,attempted_at
PA-001,L001,86,2026-05-25
PA-002,L002,86,2026-05-25
PA-003,L003,86,2026-05-25
PA-004,L004,86,2026-05-25
PA-005,L005,86,2026-05-25
PA-006,L006,86,2026-05-25
PA-007,L007,86,2026-05-25
PA-008,L008,86,2026-05-25
PA-009,L009,86,2026-05-25
PA-010,L010,86,2026-05-25
PA-011,L011,86,2026-05-25
PA-012,L012,86,2026-05-25
PA-013,L013,86,2026-05-25
PA-014,L014,86,2026-05-25
PA-015,L015,86,2026-05-25
PA-016,L016,86,2026-05-25
PA-017,L017,86,2026-05-25
PA-018,L018,86,2026-05-25
PA-019,L019,86,2026-05-25
PA-020,L020,86,2026-05-25
PA-021,L021,86,2026-05-25
PA-022,L022,86,2026-05-25
PA-023,L023,86,2026-05-25
PA-024,L024,86,2026-05-25
PA-025,L025,86,2026-05-25
PA-026,L026,86,2026-05-25
PA-027,L027,86,2026-05-25
PA-028,L028,86,2026-05-25
PA-029,L029,86,2026-05-25
PA-030,L030,86,2026-05-25
PA-031,L031,86,2026-05-25
PA-032,L032,86,2026-05-25
PA-033,L033,86,2026-05-25
PA-034,L034,86,2026-05-25
PA-035,L035,86,2026-05-25
PA-036,L036,86,2026-05-25
PA-037,L037,86,2026-05-25
PA-038,L038,86,2026-05-25
PA-039,L039,86,2026-05-25
PA-040,L040,86,2026-05-25
PA-041,L041,86,2026-05-25
PA-042,L042,86,2026-05-25
PA-043,L043,86,2026-05-25
PA-044,L044,86,2026-05-25
PA-045,L045,86,2026-05-25
PA-046,L046,86,2026-05-25
PA-047,L047,86,2026-05-25
PA-048,L048,86,2026-05-25
PA-049,L049,86,2026-05-25
PA-050,L050,86,2026-05-25
PA-051,L051,86,2026-05-25
PA-052,L052,86,2026-05-25
PA-053,L053,86,2026-05-25
PA-054,L054,86,2026-05-25
PA-055,L055,86,2026-05-25
PA-056,L056,86,2026-05-25
PA-057,L057,72,2026-05-25
PA-058,L058,72,2026-05-25
PA-059,L059,72,2026-05-25
PA-060,L060,72,2026-05-25
PA-061,L061,72,2026-05-25
PA-062,L062,72,2026-05-25
PA-063,L063,72,2026-05-25
PA-064,L064,72,2026-05-25
PA-065,L065,72,2026-05-25
PA-066,L066,72,2026-05-25
PA-067,L067,72,2026-05-25
PA-068,L068,72,2026-05-25
PA-069,L069,72,2026-05-25
PA-070,L070,72,2026-05-25
PA-071,L071,72,2026-05-25
PA-072,L072,72,2026-05-25
PA-073,L073,72,2026-05-25
PA-074,L074,72,2026-05-25
PA-075,L075,72,2026-05-25
PA-076,L076,72,2026-05-25
PA-077,L077,72,2026-05-25
PA-078,L078,72,2026-05-25
PA-079,L079,72,2026-05-25
PA-080,L080,72,2026-05-25
PA-081,L081,84,2026-05-25
PA-082,L082,84,2026-05-25
PA-083,L083,84,2026-05-25
PA-084,L084,84,2026-05-25
PA-085,L085,84,2026-05-25
PA-086,L086,84,2026-05-25
PA-087,L087,84,2026-05-25
PA-088,L088,84,2026-05-25
PA-089,L089,84,2026-05-25
PA-090,L090,84,2026-05-25
PA-091,L091,84,2026-05-25
PA-092,L092,84,2026-05-25
PA-093,L093,84,2026-05-25
PA-094,L094,84,2026-05-25
PA-095,L095,84,2026-05-25
PA-096,L096,84,2026-05-25
PA-097,L097,84,2026-05-25
PA-098,L098,84,2026-05-25
PA-099,L099,84,2026-05-25
PA-100,L100,84,2026-05-25
PA-101,L101,84,2026-05-25
PA-102,L102,84,2026-05-25
PA-103,L103,84,2026-05-25
PA-104,L104,84,2026-05-25
PA-105,L105,84,2026-05-25
PA-106,L106,84,2026-05-25
PA-107,L107,84,2026-05-25
PA-108,L108,84,2026-05-25
PA-109,L109,84,2026-05-25
PA-110,L110,84,2026-05-25
PA-111,L111,84,2026-05-25
PA-112,L112,84,2026-05-25
PA-113,L113,84,2026-05-25
PA-114,L114,84,2026-05-25
PA-115,L115,84,2026-05-25
PA-116,L116,84,2026-05-25
PA-117,L117,84,2026-05-25
PA-118,L118,84,2026-05-25
PA-119,L119,84,2026-05-25
PA-120,L120,84,2026-05-25
