learner_id,employee_id,certification_id,canonical_term,lms_claimed_ready,truth_certification_ready,block_reason,risk_level,recommended_action,evaluated_on
L00001,E00001,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00004,E00004,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Required lab missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00006,E00006,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00007,E00007,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00010,E00010,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Required lab missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00018,E00018,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00019,E00019,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00021,E00021,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00022,E00022,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00023,E00023,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00026,E00026,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00028,E00028,cert-enterprise-ai-safety,Certification Ready,True,False,Manager approval missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00029,E00029,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Required lab missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00033,E00033,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Assessment below 80; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00035,E00035,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00037,E00037,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Required module missing; Required lab missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00040,E00040,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing; Assessment below 80,high,Block certification release until missing evidence is resolved,2026-06-06
L00043,E00043,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00048,E00048,cert-enterprise-ai-safety,Certification Ready,True,False,Required module missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00050,E00050,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00052,E00052,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00055,E00055,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00060,E00060,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00063,E00063,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
L00064,E00064,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00068,E00068,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Required module missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00071,E00071,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Required module missing; Required lab missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00072,E00072,cert-enterprise-ai-safety,Certification Ready,True,False,HR eligibility missing; Manager approval missing,high,Block certification release until missing evidence is resolved,2026-06-06
L00074,E00074,cert-enterprise-ai-safety,Certification Ready,True,False,Required lab missing,medium,Block certification release until missing evidence is resolved,2026-06-06
