learner_id,certification_id,lab_id,lab_name,completion_status,completed_on,source_system
L00001,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00001,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-25,LabPlatform
L00002,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-03,LabPlatform
L00002,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-25,LabPlatform
L00003,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00003,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-11,LabPlatform
L00004,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00004,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-10,LabPlatform
L00005,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-01,LabPlatform
L00005,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-18,LabPlatform
L00006,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L00006,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00007,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-21,LabPlatform
L00007,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-26,LabPlatform
L00008,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-26,LabPlatform
L00008,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-04,LabPlatform
L00009,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L00009,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-27,LabPlatform
L00010,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-06,LabPlatform
L00010,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00011,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-07,LabPlatform
L00011,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L00012,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-11,LabPlatform
L00012,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-13,LabPlatform
L00013,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00013,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-30,LabPlatform
L00014,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-03,LabPlatform
L00014,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-17,LabPlatform
L00015,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-05,LabPlatform
L00015,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-23,LabPlatform
L00016,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-19,LabPlatform
L00016,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00017,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-15,LabPlatform
L00017,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-18,LabPlatform
L00018,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-20,LabPlatform
L00018,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-04-29,LabPlatform
L00019,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-15,LabPlatform
L00019,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-10,LabPlatform
L00020,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-06-01,LabPlatform
L00020,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00021,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-11,LabPlatform
L00021,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00022,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00022,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-01,LabPlatform
L00023,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00023,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00024,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-13,LabPlatform
L00024,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00025,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-31,LabPlatform
L00025,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-07,LabPlatform
L00026,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00026,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L00027,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00027,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-23,LabPlatform
L00028,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-24,LabPlatform
L00028,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-12,LabPlatform
L00029,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-12,LabPlatform
L00029,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-05-09,LabPlatform
L00030,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-18,LabPlatform
L00030,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-29,LabPlatform
L00031,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L00031,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-13,LabPlatform
L00032,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-16,LabPlatform
