learner_id,certification_id,manager_id,approval_status,approved_on,source_system
L00001,cert-enterprise-ai-safety,M011,approved,2026-05-08,ManagerPortal
L00002,cert-enterprise-ai-safety,M034,approved,2026-05-22,ManagerPortal
L00003,cert-enterprise-ai-safety,M040,approved,2026-05-13,ManagerPortal
L00004,cert-enterprise-ai-safety,M004,pending,,ManagerPortal
L00005,cert-enterprise-ai-safety,M072,approved,2026-04-25,ManagerPortal
L00006,cert-enterprise-ai-safety,M067,approved,2026-05-15,ManagerPortal
L00007,cert-enterprise-ai-safety,M071,pending,,ManagerPortal
L00008,cert-enterprise-ai-safety,M003,approved,2026-05-04,ManagerPortal
L00009,cert-enterprise-ai-safety,M014,approved,2026-06-05,ManagerPortal
L00010,cert-enterprise-ai-safety,M063,approved,2026-04-28,ManagerPortal
L00011,cert-enterprise-ai-safety,M064,approved,2026-05-20,ManagerPortal
L00012,cert-enterprise-ai-safety,M017,approved,2026-05-09,ManagerPortal
L00013,cert-enterprise-ai-safety,M076,pending,,ManagerPortal
L00014,cert-enterprise-ai-safety,M080,approved,2026-05-11,ManagerPortal
L00015,cert-enterprise-ai-safety,M055,approved,2026-06-06,ManagerPortal
L00016,cert-enterprise-ai-safety,M005,approved,2026-05-30,ManagerPortal
L00017,cert-enterprise-ai-safety,M027,approved,2026-05-03,ManagerPortal
L00018,cert-enterprise-ai-safety,M012,approved,2026-04-29,ManagerPortal
L00019,cert-enterprise-ai-safety,M063,approved,2026-05-10,ManagerPortal
L00020,cert-enterprise-ai-safety,M023,approved,2026-05-20,ManagerPortal
L00021,cert-enterprise-ai-safety,M027,approved,2026-05-28,ManagerPortal
L00022,cert-enterprise-ai-safety,M026,approved,2026-05-01,ManagerPortal
L00023,cert-enterprise-ai-safety,M013,approved,2026-06-02,ManagerPortal
L00024,cert-enterprise-ai-safety,M047,pending,,ManagerPortal
L00025,cert-enterprise-ai-safety,M071,approved,2026-05-14,ManagerPortal
L00026,cert-enterprise-ai-safety,M032,approved,2026-04-24,ManagerPortal
L00027,cert-enterprise-ai-safety,M041,pending,,ManagerPortal
L00028,cert-enterprise-ai-safety,M012,pending,,ManagerPortal
L00029,cert-enterprise-ai-safety,M009,approved,2026-06-02,ManagerPortal
L00030,cert-enterprise-ai-safety,M078,pending,,ManagerPortal
L00031,cert-enterprise-ai-safety,M046,approved,2026-06-04,ManagerPortal
L00032,cert-enterprise-ai-safety,M028,pending,,ManagerPortal
L00033,cert-enterprise-ai-safety,M044,pending,,ManagerPortal
L00034,cert-enterprise-ai-safety,M033,approved,2026-05-02,ManagerPortal
