learner_id,certification_id,module_id,module_name,completion_status,completion_score,completed_on,source_system
L00001,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,96,2026-03-22,LMS
L00001,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,65,2026-05-11,LMS
L00001,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,100,2026-03-27,LMS
L00002,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00002,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00002,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00003,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,100,2026-05-17,LMS
L00003,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,missing,,,LMS
L00003,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,missing,,,LMS
L00004,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,missing,,,LMS
L00004,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,71,2026-03-20,LMS
L00004,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,91,2026-04-19,LMS
L00005,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,81,2026-05-21,LMS
L00005,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,88,2026-02-15,LMS
L00005,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,81,2026-04-16,LMS
L00006,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,88,2026-05-13,LMS
L00006,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,99,2026-03-30,LMS
L00006,cert-enterprise-ai-safety,mod-incident,Incident Response Simulation,completed,72,2026-03-17,LMS
L00007,cert-enterprise-ai-safety,mod-policy,AI Policy and Risk Controls,completed,90,2026-03-07,LMS
L00007,cert-enterprise-ai-safety,mod-data,Data Handling and Privacy,completed,65,2026-04-20,LMS
