learner_id,certification_id,assessment_id,assessment_name,latest_score,passed,attempts,last_attempt_on,source_system
L00001,cert-enterprise-ai-safety,A-L00001,Certification Readiness Practice Assessment,75,False,3,2026-05-09,AssessmentPlatform
L00002,cert-enterprise-ai-safety,A-L00002,Certification Readiness Practice Assessment,67,False,2,2026-04-30,AssessmentPlatform
L00003,cert-enterprise-ai-safety,A-L00003,Certification Readiness Practice Assessment,80,True,2,2026-04-13,AssessmentPlatform
L00004,cert-enterprise-ai-safety,A-L00004,Certification Readiness Practice Assessment,85,True,3,2026-04-25,AssessmentPlatform
L00005,cert-enterprise-ai-safety,A-L00005,Certification Readiness Practice Assessment,58,False,3,2026-06-04,AssessmentPlatform
L00006,cert-enterprise-ai-safety,A-L00006,Certification Readiness Practice Assessment,81,True,3,2026-05-27,AssessmentPlatform
L00007,cert-enterprise-ai-safety,A-L00007,Certification Readiness Practice Assessment,94,True,1,2026-05-07,AssessmentPlatform
L00008,cert-enterprise-ai-safety,A-L00008,Certification Readiness Practice Assessment,91,True,1,2026-04-13,AssessmentPlatform
L00009,cert-enterprise-ai-safety,A-L00009,Certification Readiness Practice Assessment,64,False,3,2026-05-04,AssessmentPlatform
L00010,cert-enterprise-ai-safety,A-L00010,Certification Readiness Practice Assessment,92,True,2,2026-05-21,AssessmentPlatform
L00011,cert-enterprise-ai-safety,A-L00011,Certification Readiness Practice Assessment,55,False,1,2026-05-10,AssessmentPlatform
L00012,cert-enterprise-ai-safety,A-L00012,Certification Readiness Practice Assessment,67,False,1,2026-06-03,AssessmentPlatform
L00013,cert-enterprise-ai-safety,A-L00013,Certification Readiness Practice Assessment,88,True,2,2026-05-06,AssessmentPlatform
L00014,cert-enterprise-ai-safety,A-L00014,Certification Readiness Practice Assessment,71,False,1,2026-05-10,AssessmentPlatform
L00015,cert-enterprise-ai-safety,A-L00015,Certification Readiness Practice Assessment,63,False,1,2026-06-04,AssessmentPlatform
L00016,cert-enterprise-ai-safety,A-L00016,Certification Readiness Practice Assessment,60,False,1,2026-04-12,AssessmentPlatform
L00017,cert-enterprise-ai-safety,A-L00017,Certification Readiness Practice Assessment,59,False,3,2026-04-23,AssessmentPlatform
L00018,cert-enterprise-ai-safety,A-L00018,Certification Readiness Practice Assessment,77,False,2,2026-04-12,AssessmentPlatform
L00019,cert-enterprise-ai-safety,A-L00019,Certification Readiness Practice Assessment,89,True,1,2026-05-11,AssessmentPlatform
L00020,cert-enterprise-ai-safety,A-L00020,Certification Readiness Practice Assessment,64,False,3,2026-05-30,AssessmentPlatform
L00021,cert-enterprise-ai-safety,A-L00021,Certification Readiness Practice Assessment,76,False,3,2026-05-16,AssessmentPlatform
L00022,cert-enterprise-ai-safety,A-L00022,Certification Readiness Practice Assessment,78,False,3,2026-05-05,AssessmentPlatform
L00023,cert-enterprise-ai-safety,A-L00023,Certification Readiness Practice Assessment,76,False,3,2026-05-09,AssessmentPlatform
L00024,cert-enterprise-ai-safety,A-L00024,Certification Readiness Practice Assessment,65,False,1,2026-05-17,AssessmentPlatform
L00025,cert-enterprise-ai-safety,A-L00025,Certification Readiness Practice Assessment,57,False,1,2026-04-15,AssessmentPlatform
L00026,cert-enterprise-ai-safety,A-L00026,Certification Readiness Practice Assessment,90,True,1,2026-05-11,AssessmentPlatform
L00027,cert-enterprise-ai-safety,A-L00027,Certification Readiness Practice Assessment,58,False,1,2026-04-08,AssessmentPlatform
L00028,cert-enterprise-ai-safety,A-L00028,Certification Readiness Practice Assessment,84,True,2,2026-05-30,AssessmentPlatform
L00029,cert-enterprise-ai-safety,A-L00029,Certification Readiness Practice Assessment,81,True,1,2026-05-05,AssessmentPlatform
L00030,cert-enterprise-ai-safety,A-L00030,Certification Readiness Practice Assessment,67,False,2,2026-04-13,AssessmentPlatform
L00031,cert-enterprise-ai-safety,A-L00031,Certification Readiness Practice Assessment,68,False,1,2026-05-14,AssessmentPlatform
L00032,cert-enterprise-ai-safety,A-L00032,Certification Readiness Practice Assessment,70,False,3,2026-05-30,AssessmentPlatform
L00033,cert-enterprise-ai-safety,A-L00033,Certification Readiness Practice Assessment,78,False,2,2026-04-12,AssessmentPlatform
L00034,cert-enterprise-ai-safety,A-L00034,Certification Readiness Practice Assessment,61,False,2,2026-05-06,AssessmentPlatform
L00035,cert-enterprise-ai-safety,A-L00035,Certification Readiness Practice Assessment,81,True,3,2026-04-28,AssessmentPlatform
L00036,cert-enterprise-ai-safety,A-L00036,Certification Readiness Practice Assessment,92,True,2,2026-04-19,AssessmentPlatform
L00037,cert-enterprise-ai-safety,A-L00037,Certification Readiness Practice Assessment,94,True,2,2026-04-21,AssessmentPlatform
L00038,cert-enterprise-ai-safety,A-L00038,Certification Readiness Practice Assessment,71,False,2,2026-05-09,AssessmentPlatform
L00039,cert-enterprise-ai-safety,A-L00039,Certification Readiness Practice Assessment,78,False,1,2026-05-03,AssessmentPlatform
L00040,cert-enterprise-ai-safety,A-L00040,Certification Readiness Practice Assessment,79,False,1,2026-06-02,AssessmentPlatform
L00041,cert-enterprise-ai-safety,A-L00041,Certification Readiness Practice Assessment,64,False,1,2026-04-24,AssessmentPlatform
L00042,cert-enterprise-ai-safety,A-L00042,Certification Readiness Practice Assessment,100,True,2,2026-05-07,AssessmentPlatform
L00043,cert-enterprise-ai-safety,A-L00043,Certification Readiness Practice Assessment,99,True,1,2026-05-16,AssessmentPlatform
L00044,cert-enterprise-ai-safety,A-L00044,Certification Readiness Practice Assessment,67,False,1,2026-05-02,AssessmentPlatform
L00045,cert-enterprise-ai-safety,A-L00045,Certification Readiness Practice Assessment,73,False,1,2026-06-01,AssessmentPlatform
L00046,cert-enterprise-ai-safety,A-L00046,Certification Readiness Practice Assessment,63,False,3,2026-05-12,AssessmentPlatform
L00047,cert-enterprise-ai-safety,A-L00047,Certification Readiness Practice Assessment,60,False,2,2026-04-22,AssessmentPlatform
L00048,cert-enterprise-ai-safety,A-L00048,Certification Readiness Practice Assessment,82,True,2,2026-05-07,AssessmentPlatform
L00049,cert-enterprise-ai-safety,A-L00049,Certification Readiness Practice Assessment,100,True,3,2026-04-22,AssessmentPlatform
L00050,cert-enterprise-ai-safety,A-L00050,Certification Readiness Practice Assessment,89,True,2,2026-04-22,AssessmentPlatform
L00051,cert-enterprise-ai-safety,A-L00051,Certification Readiness Practice Assessment,65,False,3,2026-05-01,AssessmentPlatform
L00052,cert-enterprise-ai-safety,A-L00052,Certification Readiness Practice Assessment,85,True,1,2026-05-14,AssessmentPlatform
L00053,cert-enterprise-ai-safety,A-L00053,Certification Readiness Practice Assessment,63,False,2,2026-05-16,AssessmentPlatform
L00054,cert-enterprise-ai-safety,A-L00054,Certification Readiness Practice Assessment,74,False,1,2026-05-28,AssessmentPlatform
L00055,cert-enterprise-ai-safety,A-L00055,Certification Readiness Practice Assessment,81,True,1,2026-05-06,AssessmentPlatform
L00056,cert-enterprise-ai-safety,A-L00056,Certification Readiness Practice Assessment,89,True,1,2026-06-06,AssessmentPlatform
L00057,cert-enterprise-ai-safety,A-L00057,Certification Readiness Practice Assessment,68,False,1,2026-04-11,AssessmentPlatform
L00058,cert-enterprise-ai-safety,A-L00058,Certification Readiness Practice Assessment,62,False,3,2026-05-02,AssessmentPlatform
L00059,cert-enterprise-ai-safety,A-L00059,Certification Readiness Practice Assessment,90,True,3,2026-05-22,AssessmentPlatform
L00060,cert-enterprise-ai-safety,A-L00060,Certification Readiness Practice Assessment,96,True,2,2026-04-26,AssessmentPlatform
L00061,cert-enterprise-ai-safety,A-L00061,Certification Readiness Practice Assessment,72,False,2,2026-05-18,AssessmentPlatform
L00062,cert-enterprise-ai-safety,A-L00062,Certification Readiness Practice Assessment,58,False,3,2026-05-23,AssessmentPlatform
L00063,cert-enterprise-ai-safety,A-L00063,Certification Readiness Practice Assessment,80,True,2,2026-04-22,AssessmentPlatform
L00064,cert-enterprise-ai-safety,A-L00064,Certification Readiness Practice Assessment,84,True,1,2026-06-05,AssessmentPlatform
L00065,cert-enterprise-ai-safety,A-L00065,Certification Readiness Practice Assessment,62,False,1,2026-04-19,AssessmentPlatform
L00066,cert-enterprise-ai-safety,A-L00066,Certification Readiness Practice Assessment,72,False,3,2026-05-05,AssessmentPlatform
